Input.url,Answer.website
harvardpolitics.com,https://en.wikipedia.org/wiki/Harvard_Political_Review
nola.com-#-0,https://en.wikipedia.org/?title=Nola.com&redirect=no
alhayat.com,https://en.wikipedia.org/wiki/Al-Hayat
climatecentral.org,https://en.wikipedia.org/wiki/Climate_Central
roanoke.com,https://en.wikipedia.org/wiki/The_Roanoke_Times
siouxcityjournal.com,https://en.wikipedia.org/wiki/Sioux_City_Journal
theodysseyonline.com,https://en.wikipedia.org/wiki/Odyssey_(publication)
cpj.org,https://en.wikipedia.org/wiki/Committee_to_Protect_Journalists
columbiadailyherald.com,"https://en.wikipedia.org/wiki/Daily_Herald_(Columbia,_Tennessee)"
epi.org,https://en.wikipedia.org/wiki/Economic_Policy_Institute
thetimesherald.com,https://en.wikipedia.org/wiki/The_Times_Herald
atlanticmedia.com,https://en.wikipedia.org/wiki/Atlantic_Media
religionnews.com,https://en.wikipedia.org/wiki/Religion_News_Service
rewire.news,https://en.wikipedia.org/wiki/Rewire.News
unwatch.org,https://en.wikipedia.org/wiki/UN_Watch
pnas.org,https://en.wikipedia.org/wiki/Proceedings_of_the_National_Academy_of_Sciences_of_the_United_States_of_America
pjmedia.com,https://en.wikipedia.org/wiki/PJ_Media
baptistnews.com,https://en.wikipedia.org/wiki/Baptist_News_Global
magicvalley.com,https://en.wikipedia.org/wiki/Times-News_(Idaho)
duffelblog.com,https://en.wikipedia.org/wiki/Duffel_Blog
skeptic.com,https://en.wikipedia.org/wiki/Skeptic_(U.S._magazine)
thechronicleherald.ca,https://en.wikipedia.org/wiki/The_Chronicle_Herald
frc.org,https://en.wikipedia.org/wiki/Family_Research_Council
economictimes.indiatimes.com,https://en.wikipedia.org/wiki/The_Economic_Times
retractionwatch.com,https://en.wikipedia.org/wiki/Retraction_Watch
nationalmemo.com,N/A
photographyisnotacrime.com,https://en.wikipedia.org/wiki/Photography_is_Not_a_Crime
projectveritas.com,https://en.wikipedia.org/wiki/James_O%27Keefe
babylonbee.com,https://en.wikipedia.org/wiki/The_Babylon_Bee
taxfoundation.org,https://en.wikipedia.org/wiki/Tax_Foundation
govexec.com,https://en.wikipedia.org/wiki/Government_Executive
al-monitor.com-pulse-home.html,https://en.wikipedia.org/wiki/Al-Monitor
insidephilanthropy.com,https://en.wikipedia.org/wiki/Inside_Philanthropy
nwitimes.com,https://en.wikipedia.org/wiki/The_Times_of_Northwest_Indiana
climaterealityproject.org,https://en.wikipedia.org/wiki/The_Climate_Reality_Project
thejakartapost.com,https://en.wikipedia.org/wiki/The_Jakarta_Post
nccivitas.org,https://en.wikipedia.org/wiki/Civitas_Institute
seattletimes.com,https://en.wikipedia.org/wiki/The_Seattle_Times
taxpayer.com,https://en.wikipedia.org/wiki/Canadian_Taxpayers_Federation
sonsoflibertymedia.com,https://en.wikipedia.org/wiki/Liberty_Media
chicago.suntimes.com,https://en.wikipedia.org/wiki/Chicago_Sun-Times
americanprogress.org,https://en.wikipedia.org/wiki/Center_for_American_Progress
desmogblog.com,https://en.wikipedia.org/wiki/DeSmogBlog
erlc.com,https://en.wikipedia.org/wiki/Ethics_%26_Religious_Liberty_Commission
niskanencenter.org,https://en.wikipedia.org/wiki/Niskanen_Center
yesmagazine.org,https://en.wikipedia.org/wiki/Yes!_(U.S._magazine)
greenleft.org.au,https://en.wikipedia.org/wiki/Green_Left_Weekly
texasmonthly.com,https://en.wikipedia.org/wiki/Texas_Monthly
stimson.org,https://en.wikipedia.org/wiki/The_Stimson_Center
pravdareport.com,https://en.wikipedia.org/wiki/Pravda.ru
host.madison.com-wsj,https://en.wikipedia.org/wiki/Wisconsin_State_Journal
upr.org,https://en.wikipedia.org/wiki/KUSU-FM
peninsuladailynews.com,https://en.wikipedia.org/wiki/Peninsula_Daily_News
earthfirstjournal.org,https://en.wikipedia.org/wiki/Earth_First!_(magazine)
americablog.com,https://en.wikipedia.org/wiki/Americablog
freetelegraph.com,https://en.wikipedia.org/wiki/The_Free_Telegraph
fresnobee.com,https://en.wikipedia.org/wiki/The_Fresno_Bee
conservapedia.com-Main_Page,https://en.wikipedia.org/wiki/Conservapedia
resourcegovernance.org,https://en.wikipedia.org/wiki/Natural_Resource_Governance_Institute
helsinkitimes.fi,https://en.wikipedia.org/wiki/Helsinki_Times
jacobinmag.com,https://en.wikipedia.org/wiki/Jacobin_(magazine)
pri.org-programs-globalpost,https://en.wikipedia.org/wiki/Public_Radio_International
betootaadvocate.com,https://en.wikipedia.org/wiki/The_Betoota_Advocate
sonorannews.com,https://en.wikipedia.org/wiki/Sonoran_News
tribunemagazine.org,https://en.wikipedia.org/wiki/Tribune_(magazine)
dailywire.com,https://en.wikipedia.org/wiki/The_Daily_Wire
jns.org,https://en.wikipedia.org/wiki/Jonathan_S._Tobin
wgntv.com,https://en.wikipedia.org/wiki/WGN-TV
bismarcktribune.com,https://en.wikipedia.org/wiki/The_Bismarck_Tribune
thecanary.co,https://en.wikipedia.org/wiki/The_Canary_(website)
occupydemocrats.com,https://en.wikipedia.org/wiki/Occupy_Democrats
newbernsj.com,"https://en.wikipedia.org/wiki/Sun_Journal_(New_Bern,_North_Carolina)"
westernjournalism.com,https://en.wikipedia.org/wiki/The_Western_Journal
verafiles.org,https://en.wikipedia.org/wiki/Vera_Files
workers.org,https://en.wikipedia.org/wiki/Workers_World_Party
afa.net,https://en.wikipedia.org/wiki/American_Family_Association
globalintegrity.org,https://en.wikipedia.org/wiki/Global_Integrity
noozhawk.com,https://en.wikipedia.org/wiki/Noozhawk
fedsoc.org,https://en.wikipedia.org/wiki/Federalist_Society
truthinmedia.com,N/A
kff.org,https://en.wikipedia.org/wiki/Kaiser_Family_Foundation
ejinsight.com,https://en.wikipedia.org/wiki/Hong_Kong_Economic_Journal
pogo.org,https://en.wikipedia.org/wiki/Project_On_Government_Oversight
thepublicdiscourse.com,N/A
avoiceformen.com,https://en.wikipedia.org/wiki/A_Voice_for_Men
taxjustice.net,https://en.wikipedia.org/wiki/Tax_Justice_Network
theguardian.com-observer,https://en.wikipedia.org/wiki/The_Observer
christwire.org,https://en.wikipedia.org/wiki/Christwire
statesmanjournal.com,https://en.wikipedia.org/wiki/Statesman_Journal
financialpost.com,https://en.wikipedia.org/wiki/Financial_Post
eurasiagroup.net,https://en.wikipedia.org/wiki/Eurasia_Group
conservativehq.com,N/A
greentechmedia.com,https://en.wikipedia.org/wiki/Greentech_Media
rinf.com,N/A
capitalresearch.org,https://en.wikipedia.org/wiki/Capital_Research_Center
news.err.ee,https://en.wikipedia.org/wiki/Eesti_Rahvusringh%C3%A4%C3%A4ling
news.cgtn.com,https://en.wikipedia.org/wiki/CGTN_(TV_channel)
vote.us.org,https://en.wikipedia.org/wiki/Vote.org
opendemocracy.net,https://en.wikipedia.org/wiki/OpenDemocracy
egyptianstreets.com,https://en.wikipedia.org/wiki/Egyptian_Streets
themilitant.com,https://en.wikipedia.org/wiki/The_Militant
postbulletin.com,https://en.wikipedia.org/wiki/Post-Bulletin
indymedia.org-or-index.shtml,https://en.wikipedia.org/wiki/Independent_Media_Center
iwf.org,https://en.wikipedia.org/wiki/Independent_Women%27s_Forum
redstate.com,https://en.wikipedia.org/wiki/RedState
ips-dc.org,N/A
democratherald.com,https://en.wikipedia.org/wiki/Albany_Democrat-Herald
americanheritage.com,https://en.wikipedia.org/wiki/American_Heritage_(magazine)
deccanherald.com,https://en.wikipedia.org/wiki/Deccan_Herald
freemedia.at,https://en.wikipedia.org/wiki/International_Press_Institute
redice.tv,https://rationalwiki.org/wiki/Red_Ice_Creations
americanindependent.com,https://en.wikipedia.org/wiki/American_Independent_Institute
rstreet.org,https://en.wikipedia.org/wiki/R_Street_Institute
curvemag.com,https://en.wikipedia.org/wiki/Curve_(magazine)
almasdarnews.com,https://en.wikipedia.org/wiki/Al-Masdar_News
nber.org,https://en.wikipedia.org/wiki/National_Bureau_of_Economic_Research
pgpf.org,https://en.wikipedia.org/wiki/The_Peter_G._Peterson_Foundation
providencejournal.com,https://en.wikipedia.org/wiki/The_Providence_Journal
centerforinquiry.net,https://en.wikipedia.org/wiki/Center_for_Inquiry
ffrf.org,https://en.wikipedia.org/wiki/Freedom_From_Religion_Foundation
bjreview.com,https://en.wikipedia.org/wiki/Beijing_Review
tnonline.com,N/A
rapidcityjournal.com,https://en.wikipedia.org/wiki/Rapid_City_Journal
elpasotimes.com,https://en.wikipedia.org/wiki/El_Paso_Times
feministfrequency.com,https://en.wikipedia.org/wiki/Anita_Sarkeesian
demos.org,https://en.wikipedia.org/wiki/Demos_(U.S._think_tank)
eng.majalla.com,https://en.wikipedia.org/wiki/The_Majalla
auburnpub.com,https://en.wikipedia.org/wiki/The_Citizen_(Auburn)
freedomhouse.org,https://en.wikipedia.org/wiki/Freedom_House
quadrant.org.au,https://en.wikipedia.org/wiki/Quadrant_(magazine)
theunrealtimes.com,https://en.wikipedia.org/wiki/The_UnReal_Times
patribotics.blog,https://en.wikipedia.org/wiki/Patribotics
youthradio.org,https://en.wikipedia.org/wiki/Youth_Radio
bipartisanpolicy.org,https://en.wikipedia.org/wiki/Bipartisan_Policy_Center
azdailysun.com,https://en.wikipedia.org/wiki/Arizona_Daily_Sun
newyorker.com-humor-borowitz-report,https://en.wikipedia.org/wiki/The_New_Yorker
thenewamerican.com,https://en.wikipedia.org/wiki/The_New_American
unionleader.com,https://en.wikipedia.org/wiki/New_Hampshire_Union_Leader
timescolonist.com,https://en.wikipedia.org/wiki/Times_Colonist
tfp.org,"https://en.wikipedia.org/wiki/Tradition,_Family_and_Property"
newsite.thehindu.com,https://en.wikipedia.org/wiki/The_Hindu
scotusblog.com,https://en.wikipedia.org/wiki/SCOTUSblog
sciencedirect.com,https://en.wikipedia.org/wiki/ScienceDirect
crfb.org,https://en.wikipedia.org/wiki/Committee_for_a_Responsible_Federal_Budget
unz.com,https://en.wikipedia.org/wiki/Ron_Unz
hcn.org,https://en.wikipedia.org/wiki/High_Country_News
memri.org,https://en.wikipedia.org/wiki/Middle_East_Media_Research_Institute
tvw.org,https://en.wikipedia.org/wiki/TVW_(Washington)
dailytarheel.com,https://en.wikipedia.org/wiki/The_Daily_Tar_Heel
lexingtoninstitute.org,https://en.wikipedia.org/wiki/Lexington_Institute
680news.com,https://en.wikipedia.org/wiki/CFTR_(AM)
kmov.com,https://en.wikipedia.org/wiki/KMOV
middleeastmonitor.com,https://en.wikipedia.org/wiki/Middle_East_Monitor
srnnews.com,https://en.wikipedia.org/wiki/Salem_Radio_Network
takepart.com,https://en.wikipedia.org/wiki/TakePart
foreignaffairs.com,https://en.wikipedia.org/wiki/Foreign_Affairs
theoslotimes.com,N/A
cis.org,https://en.wikipedia.org/wiki/Center_for_Immigration_Studies
newsbiscuit.com,https://en.wikipedia.org/wiki/NewsBiscuit
washingtonblade.com,https://en.wikipedia.org/wiki/Washington_Blade
ebar.com,https://en.wikipedia.org/wiki/Bay_Area_Reporter
canadiandimension.com,https://en.wikipedia.org/wiki/Canadian_Dimension
reverbpress.com,N/A
democraticunderground.com,N/A
tennesseestar.com,N/A
texastribune.org,https://en.wikipedia.org/wiki/The_Texas_Tribune
sbgi.net,https://en.wikipedia.org/wiki/Sinclair_Broadcast_Group
ctvnews.ca,https://en.wikipedia.org/wiki/CTV_News
everydayfeminism.com,https://en.wikipedia.org/wiki/Everyday_Feminism
rep-am.com,https://en.wikipedia.org/wiki/Republican-American
winonadailynews.com,https://en.wikipedia.org/wiki/Winona_Daily_News
neweurope.eu,https://en.wikipedia.org/wiki/New_Europe_(newspaper)
thediplomat.com,https://en.wikipedia.org/wiki/The_Diplomat
defenseone.com,https://en.wikipedia.org/wiki/Atlantic_Media
weforum.org,https://en.wikipedia.org/wiki/World_Economic_Forum
electronicintifada.net,https://en.wikipedia.org/wiki/The_Electronic_Intifada
rt.com-news,https://en.wikipedia.org/wiki/RT_(TV_network)
thereligionofpeace.com,https://en.wikipedia.org/wiki/Religion_of_peace
aclu.org,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union
mondoweiss.net,https://en.wikipedia.org/wiki/Mondoweiss
presstv.com,https://en.wikipedia.org/wiki/Press_TV
cumberlink.com,https://en.wikipedia.org/wiki/The_Sentinel_(Pennsylvania)
carnegieendowment.org,https://en.wikipedia.org/wiki/Carnegie_Endowment_for_International_Peace
alreporter.com,https://en.wikipedia.org/wiki/Alabama_Political_Reporter
lethbridgeherald.com,https://en.wikipedia.org/wiki/Lethbridge_Herald
mintpressnews.com,https://en.wikipedia.org/wiki/MintPress_News
valleynewslive.com,https://en.wikipedia.org/wiki/KVLY-TV
thenewatlantis.com,https://en.wikipedia.org/wiki/The_New_Atlantis_(journal)
codepink.org,https://en.wikipedia.org/wiki/Code_Pink
ifamericaknew.org,https://en.wikipedia.org/wiki/If_Americans_Knew
dailysabah.com,https://en.wikipedia.org/wiki/Daily_Sabah
malaysia-today.net,https://en.wikipedia.org/wiki/Malaysia_Today
ncse.com,https://en.wikipedia.org/wiki/NCSE
scripps.ucsd.edu-news,n/a
adaa.org,https://en.wikipedia.org/wiki/Anxiety_and_Depression_Association_of_America
lavendermagazine.com,https://en.wikipedia.org/wiki/Lavender_(magazine)
progressivestoday.com,N/A
projectcensored.org,https://en.wikipedia.org/wiki/Project_Censored
freewoodpost.com,https://en.wikipedia.org/wiki/Free_Wood_Post
dispatch.com,https://en.wikipedia.org/wiki/The_Columbus_Dispatch
fightforthefuture.org,https://en.wikipedia.org/wiki/Fight_for_the_Future
dailysquib.co.uk,https://en.wikipedia.org/wiki/The_Daily_Squib
drudge.com,https://en.wikipedia.org/wiki/Drudge_Report
smirkingchimp.com,N/A
taipeitimes.com,https://en.wikipedia.org/wiki/Taipei_Times
pacificresearch.org-home,https://en.wikipedia.org/wiki/Pacific_Research_Institute
cbpp.org,https://en.wikipedia.org/wiki/Center_on_Budget_and_Policy_Priorities
bipartisanreport.com,https://en.wikipedia.org/wiki/Bipartisan_Report
concernedwomen.org-blog,https://en.wikipedia.org/wiki/Concerned_Women_for_America
ocweekly.com,https://en.wikipedia.org/wiki/OC_Weekly
rochdaleherald.co.uk,N/A
trib.com,https://en.wikipedia.org/wiki/Casper_Star-Tribune
redalertpolitics.com,https://en.wikipedia.org/wiki/Red_Alert_Politics
denverpost.com,https://en.wikipedia.org/wiki/The_Denver_Post
hopkinsmedicine.org,https://en.wikipedia.org/wiki/Johns_Hopkins_School_of_Medicine
telesurtv.net-english,https://en.wikipedia.org/wiki/Telesur_(TV_channel)
citizensunited.org-index.aspx,https://en.wikipedia.org/wiki/Citizens_United_(organization)
npr.org-sections-news,https://en.wikipedia.org/wiki/NPR
christianitytoday.com,https://en.wikipedia.org/wiki/Christianity_Today
judicialnetwork.com,https://en.wikipedia.org/wiki/Judicial_Crisis_Network
politicalcritique.org,N/A
thequint.com,https://en.wikipedia.org/wiki/The_Quint
iea.org,https://en.wikipedia.org/wiki/International_Energy_Agency
aclj.org,https://en.wikipedia.org/wiki/American_Center_for_Law_%26_Justice
theblaze.com,https://en.wikipedia.org/wiki/Blaze_Media
elpais.com-elpais-inenglish.html,https://en.wikipedia.org/wiki/El_Pa%C3%ADs
crimethinc.com,https://en.wikipedia.org/wiki/CrimethInc.
tytnetwork.com,https://en.wikipedia.org/wiki/The_Young_Turks
constitutionproject.org,https://en.wikipedia.org/wiki/Constitution_Project
geneticliteracyproject.org,https://en.wikipedia.org/wiki/Genetic_Literacy_Project
reductress.com,https://en.wikipedia.org/wiki/Reductress
nowthisnews.com,https://en.wikipedia.org/wiki/NowThis_News
bizpacreview.com,N/A
newshounds.us,https://en.wikifur.com/wiki/Newshounds
focusonthefamily.com,https://en.wikipedia.org/wiki/Focus_on_the_Family
airwars.org,https://en.wikipedia.org/wiki/Airwars
fairus.org,https://en.wikipedia.org/wiki/Federation_for_American_Immigration_Reform
judicialwatch.org,https://en.wikipedia.org/wiki/Judicial_Watch
gallup.com-home.aspx,https://en.wikipedia.org/wiki/Gallup_(company)
elitedaily.com,https://en.wikipedia.org/wiki/Elite_Daily
mtstandard.com,https://en.wikipedia.org/wiki/The_Montana_Standard
takimag.com,https://en.wikipedia.org/wiki/Taki%27s_Magazine
amny.com,https://en.wikipedia.org/wiki/AM_New_York
icij.org,https://en.wikipedia.org/wiki/International_Consortium_of_Investigative_Journalists
koco.com,https://en.wikipedia.org/wiki/KOCO-TV
newint.org,https://en.wikipedia.org/wiki/New_Internationalist
democratichub.com,N/A
thedailymash.co.uk,https://en.wikipedia.org/wiki/The_Daily_Mash
news.harvard.edu-gazette,https://en.wikipedia.org/wiki/Harvard_Gazette
inquisitr.com-news,https://en.wikipedia.org/wiki/Inquisitr
worldaffairsjournal.org,https://en.wikipedia.org/wiki/World_Affairs
fwweekly.com,https://en.wikipedia.org/wiki/Fort_Worth_Weekly
consumerreports.org,https://en.wikipedia.org/wiki/Consumer_Reports
thefiscaltimes.com,https://en.wikipedia.org/wiki/The_Fiscal_Times
dailycurrant.com,https://en.wikipedia.org/wiki/The_Daily_Currant
jordantimes.com,https://en.wikipedia.org/wiki/The_Jordan_Times
pewresearch.org,https://en.wikipedia.org/wiki/Pew_Research_Center
opednews.com,https://en.wikipedia.org/wiki/OpEdNews
hermancain.com,https://en.wikipedia.org/wiki/Herman_Cain
cato.org-regulation,https://en.wikipedia.org/wiki/Cato_Institute
amren.com,https://en.wikipedia.org/wiki/American_Renaissance_(magazine)
numbersusa.com,https://en.wikipedia.org/wiki/NumbersUSA
wionews.com,https://en.wikipedia.org/wiki/WION_(TV_channel)
timeline.com,N/A
adflegal.org,https://en.wikipedia.org/wiki/Alliance_Defending_Freedom
webmd.com,https://en.wikipedia.org/wiki/WebMD
alec.org,https://en.wikipedia.org/wiki/American_Legislative_Exchange_Council
sbsun.com,https://en.wikipedia.org/wiki/The_San_Bernardino_Sun
thewalrus.ca,https://en.wikipedia.org/wiki/The_Walrus
news.mongabay.com,https://en.wikipedia.org/wiki/Mongabay
americansforprosperity.org,https://en.wikipedia.org/wiki/Americans_for_Prosperity
fusion.kinja.com,https://en.wikipedia.org/wiki/Kinja
jpost.com-Jerusalem-Report,https://en.wikipedia.org/wiki/The_Jerusalem_Post
aptnnews.ca,https://en.wikipedia.org/wiki/Aboriginal_Peoples_Television_Network
chicagoreporter.com,https://en.wikipedia.org/wiki/The_Chicago_Reporter
spin.com-death-and-taxes,https://en.wikipedia.org/wiki/SpinMedia
aina.org,https://en.wikipedia.org/wiki/Assyrian_International_News_Agency
aei.org,https://en.wikipedia.org/wiki/American_Enterprise_Institute
10news.one,https://en.wikipedia.org/wiki/10_News_First
tmn.today,N/A
oaoa.com,https://en.wikipedia.org/wiki/Odessa_American
acpeds.org,https://en.wikipedia.org/wiki/American_College_of_Pediatricians
euobserver.com,https://en.wikipedia.org/wiki/EUobserver
worldnewsdailyreport.com,https://en.wikipedia.org/wiki/World_News_Daily_Report
indiatoday.intoday.in,https://en.wikipedia.org/wiki/India_Today
japantoday.com,https://en.wikipedia.org/wiki/Japan_Today
thesaturdaypaper.com.au,https://en.wikipedia.org/wiki/The_Saturday_Paper
hrw.org,https://en.wikipedia.org/wiki/Human_Rights_Watch
humanevents.com,https://en.wikipedia.org/wiki/Human_Events
budapestbeacon.com,https://en.wikipedia.org/wiki/The_Budapest_Beacon
migrationpolicy.org,https://en.wikipedia.org/wiki/Migration_Policy_Institute
verywell.com,https://en.wikipedia.org/wiki/Verywell
sungazette.com,https://en.wikipedia.org/wiki/Williamsport_Sun-Gazette
euractiv.com,https://en.wikipedia.org/wiki/EURACTIV
crooksandliars.com,https://en.wikipedia.org/wiki/Crooks_and_Liars
shareblue.com,https://en.wikipedia.org/wiki/Shareblue_Media
clarionproject.org,https://en.wikipedia.org/wiki/Clarion_Project
napavalleyregister.com,https://en.wikipedia.org/wiki/Napa_Valley_Register
heartland.org,https://en.wikipedia.org/wiki/The_Heartland_Institute
sojo.net,https://en.wikipedia.org/wiki/Sojourners
herald-review.com,https://en.wikipedia.org/wiki/Herald_%26_Review
tdn.com,https://en.wikipedia.org/wiki/The_Daily_News_(Longview)
skyandtelescope.com,https://en.wikipedia.org/wiki/Sky_%26_Telescope
frankmag.ca,https://en.wikipedia.org/wiki/Frank_(magazine)
ire.org,https://en.wikipedia.org/wiki/Investigative_Reporters_and_Editors
irena.org,https://en.wikipedia.org/wiki/International_Renewable_Energy_Agency
qpolitical.com,N/A
bettergov.org,https://en.wikipedia.org/wiki/Better_Government_Association
theknifemedia.com,N/A
thegatewaypundit.com,https://en.wikipedia.org/wiki/The_Gateway_Pundit
fpri.org,https://en.wikipedia.org/wiki/Foreign_Policy_Research_Institute
currentaffairs.org,https://en.wikipedia.org/wiki/Current_Affairs_(magazine)
sandiegofreepress.org,https://en.wikipedia.org/wiki/San_Diego_Free_Press
nationofchange.org,N/A
citizen-times.com,https://en.wikipedia.org/wiki/Asheville_Citizen-Times
aim.org,https://en.wikipedia.org/wiki/Accuracy_in_Media
thevarsity.ca,https://en.wikipedia.org/wiki/The_Varsity_(newspaper)
thetab.com,https://en.wikipedia.org/wiki/The_Tab
saudigazette.com.sa,https://en.wikipedia.org/wiki/Saudi_Gazette
opposingviews.com,https://en.wikipedia.org/wiki/Opposing_Views
listverse.com,N/A
oregonlive.com-#-0,https://en.wikipedia.org/wiki/OregonLive.com
news.abs-cbn.com,https://en.wikipedia.org/wiki/ABS-CBN
alaraby.co.uk,https://en.wikipedia.org/wiki/Al-Araby_Al-Jadeed
